x,y,Cell Type
891,3015,CD19+ Cytokeratin 5/8+ cells
3913,1596,DP cells
2340,1437,JAG1+ macrophages 
204,366,PD-L1+ CD3+ DP cells 
2545,3044,DP cells
3959,1105,COL4+ cells
1348,1420,DP cells
3159,2836,WGA+ cells
2243,1996,DP cells
4040,1531,DP cells
1972,2317,Endothelial cells
1695,2802,DP cells
1904,3339,DP cells
4272,226,JAG1+ VCAM+ macrophages
468,3386,SP cells
2243,1902,DP cells
3922,1760,cTECs
736,2306,Class II+ DP cells
3231,2807,VCAM+ DP cells
2225,828,Endothelial cells
293,589,CCR7+ cells
38,2392,ETPs (proliferating)
2721,3129,DP cells
3926,3365,DP cells
1328,2201,SP cells
1428,2417,DP cells
1195,2885,DP cells
4456,2667,DP cells
1983,2601,cTECs
1876,387,JAG1+ macrophages
3712,3286,Class II+ DP cells
2965,2126,DP cells
3839,2202,DP cells
4095,1274,SP cells
2441,352,Class II+ DP cells
2031,2744,DP cells
2784,406,SP cells
3850,1238,SP cells
152,3257,JAG2+ mTECs
681,2393,Myeloid cells
1474,658,SP cells
2949,1910,DP cells
